domain,url,status,error,ind
mediaphoto.mnhn.fr,http://mediaphoto.mnhn.fr/media/1464697254825qlL2eKSm0jTcUyFp,200,Downloaded image. Final - 200 Initial - ,0
images.collections.yale.edu,"https://images.collections.yale.edu/iiif/2/ypm:1891c3fc-8b2b-4526-92de-71964a3a10e8/full/!1920,1920/0/default.jpg",200,Downloaded image. Final - 200 Initial - ,1
d2seqvvyy3b8p2.cloudfront.net,http://d2seqvvyy3b8p2.cloudfront.net/c5767cf6e526d30f8c74f7773caf779e.jpg,200,Downloaded image. Final - 200 Initial - ,2
image.bgbm.org,https://image.bgbm.org/images/internal/HerbarThumbs/B100591454_1700,False,An unexpected error occurred,3
herbarium.bgbm.org,https://herbarium.bgbm.org/data/iiif/B100591454/manifest.json,200,Downloaded image. Final - 200 Initial - ,4
data.nhm.ac.uk,https://data.nhm.ac.uk/media/7c049cf4-834b-4f5a-a9ed-f802c6751f11,200,Downloaded image. Final - 200 Initial - ,5
iiif.rbge.org.uk,"https://iiif.rbge.org.uk/herb/iiif/E00718581/full/300,/0/default.jpg",200,Downloaded image. Final - 200 Initial - ,6
www.unimus.no,https://www.unimus.no/felles/bilder/web_hent_bilde.php?id=12862340&type=jpeg,200,Downloaded image. Final - 200 Initial - ,7
object.jacq.org,https://object.jacq.org/europeana/WU/59632.jpg,200,Downloaded image. Final - 200 Initial - ,8
ww2.bgbm.org,http://ww2.bgbm.org/herbarium/images/FieldMuseum/14230.jpg,200,Downloaded image. Final - 200 Initial - ,9
fm-digital-assets.fieldmuseum.org,http://fm-digital-assets.fieldmuseum.org/172/438/ANNO_xylo_arom_pan_1516752.jpg,200,Downloaded image. Final - 200 Initial - ,10
services.jacq.org,https://services.jacq.org/jacq-services/rest/images/europeana/563732?withredirect=1,404,Error 404,11
images.mobot.org,http://images.mobot.org/tropicosimages3/detailimages/TropicosImages2/100143000/32DAA9DE-7C98-497D-BA39-DC9AAC06AE2D.jpg,200,Downloaded image. Final - 200 Initial - ,12
