                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.06305,                  19.05,                 11.279,                0.46509,                 1.0207,                 0.9921,                 0.9887,                0.99441,                0.93056,                      0,                      0,                      0,                      0,                0.11939,                 17.585,                 8.3504,                0.58829,                0.90193,              0.0033147,              0.0033147,              0.0033147
                      2,                0.03234,                 17.573,                 8.0808,                0.20056,                0.91318,                0.94213,                0.95118,                0.98553,                0.95351,                      0,                      0,                      0,                      0,                0.11479,                  17.07,                 10.637,                0.68506,                0.84773,              0.0066042,              0.0066042,              0.0066042
                      3,                0.04998,                 16.317,                 8.2416,                0.27916,                0.93664,                0.58406,                 0.7748,                0.65111,                0.48069,                      0,                      0,                      0,                      0,                0.24936,                 18.157,                 17.787,                 2.4158,                 1.5862,              0.0098496,              0.0098496,              0.0098496
                      4,                0.06841,                 15.728,                 8.4276,                0.34984,                0.96117,                0.70405,                0.82422,                 0.8328,                 0.6334,                0.00858,                0.00945,                0.00038,                  5e-05,                0.19022,                 16.782,                 19.579,                 1.7098,                 1.1762,               0.009802,               0.009802,               0.009802
                      5,                0.05757,                 14.672,                 8.0691,                0.30001,                0.92936,                0.92453,                0.96465,                0.96403,                0.85878,                0.07162,                0.07717,                0.00878,                0.00127,                0.12756,                 13.498,                 8.3834,                0.71133,                0.94543,               0.009802,               0.009802,               0.009802
                      6,                0.05018,                 13.857,                 7.7597,                0.26224,                0.91532,                 0.9928,                 0.9874,                0.99459,                0.97509,                0.13819,                0.13543,                0.02616,                0.00435,                0.08749,                 12.105,                  8.488,                0.48256,                0.80554,               0.009736,               0.009736,               0.009736
                      7,                0.04748,                  13.33,                 7.4899,                0.24614,                0.90646,                0.99194,                0.99685,                0.99337,                0.97779,                0.22097,                0.22205,                0.08205,                0.01555,                0.08103,                 10.641,                 6.5006,                0.33963,                0.73864,                0.00967,                0.00967,                0.00967
                      8,                0.04548,                  12.87,                 7.2424,                0.23463,                0.90743,                0.98402,                0.99685,                0.99353,                0.96658,                0.30272,                0.30014,                 0.1396,                0.03124,                0.08283,                 9.9658,                 6.6814,                0.36277,                0.75124,               0.009604,               0.009604,               0.009604
                      9,                0.04266,                  12.65,                 7.1486,                 0.2253,                 0.8972,                0.99373,                0.99779,                0.99482,                0.98282,                0.32774,                0.32598,                0.12804,                0.02632,                0.07098,                 9.9211,                 6.6428,                0.38113,                0.69193,               0.009538,               0.009538,               0.009538
                     10,                0.04007,                 12.232,                 7.0454,                0.21367,                0.88879,                0.98602,                0.99989,                0.99375,                0.97858,                0.33702,                0.33543,                0.13638,                0.02847,                0.07055,                 9.4301,                  6.494,                0.30628,                0.69583,               0.009472,               0.009472,               0.009472
